,citingPaperID,source,string,label,sentiment
34,39aca52b748a1e8969413295fc736ea90fd930ea>b7c9b2632ffbcef4a35a6bf0c85686d9f11c1532_9,explicit,"More examples of contradictory results have been observed in bovines; some reports (Zakhartchenko et al., 2001; Bhuiyan et al., 2004) indicated a significant decrease in blastocyst",result,negative
284,f073f6ad682f2598f7a0e21aeaf7837f15e2af96>68e2a022618bf67bae94ab61993dceb229fd4a66_3,explicit,"Previous studies have published on the relationship between markers of ECM remodelling with CHD [5,6,29], but the results have been inconsistent with studies reporting either a positive or null effect while others have shown that markers of inflammation largely confound the association.",result,negative
373,efaa33b745b1420d6bf13873a4df09680c7984e0>eb08d5a6852228a7b45deb22f1bf4dde945020c6_5,explicit,"…and negatively regulated by different p80 katanin domains The contradictory findings that human p60 binds stably to microtubules in vitro but never co-localizes with microtubules in vivo (McNally and Thomas, 1998) suggested that katanin might interact transiently with microtubules in vivo.",background,negative
532,d69b6563f61cf3815d0b0d1e650c042f5d648147>None_0,explicit,These results seem to contradict previous findings indicating that alcohol-related harm is closely related to prices on distilled spirits [7-12].,result,negative
580,0244de3610992df3e77b65de794861810a673a48>89634acca7f883bb26a15b1db301488353d8654d_4,explicit,"…but moderately correlated with reaction time interpretation bias, suggesting that the two measures assess separate but related processes (Amir et al. 2012; Beard and Amir 2009).1 Given the intriguing but somewhat contradictory findings of these preliminary WSAP studies, we sought to…",background,negative
641,255a4114c6c3994f9dd7d4c513018033c2f47684>9163de6331c84deddae799f3a95018213b55aa72_0,explicit,"However, this was inconsistent with the investigations that showed a generally higher abundance of the tryptophan-like components in Lake Taihu than in its tributary samples (Yao et al. 2011; Zhou et al. 2015).",result,negative
806,e2379c85f30d2c041e9ce6921d72397009e5aff5>2dcac0993e5e55d2576f6f597761d98b64607474_0,explicit,"Oxidative damage of telomeres along with a general damage of DNA because of aged and thereby inefficient mitochondria could be an explanation (Chen et al., 1995), although contradictory results have been published on this matter (von Zglinicki et al., 2000; Britt-Compton et al., 2009).",result,negative
1002,7d3ea24ab5aefb9de004a5cf741d2f79aa02f244>140a18eb723ca36d6170f35a177b4b1d40bb673f_0,explicit,"These results are inconsistent with those of previous studies, which generally suggest that leptin is associated with sympathetic activation [11].",result,negative
1438,2dab419465042ffc5da8f032470bd76372dd4c56>3a681477ad66a92fdd771f1849e7a5eec702908c_0,explicit,"For bladder cancer, clinical studies yielded conflicting results on the cancer prevention effects of statins in patients with bladder cancer [8–10].",result,negative
1588,972ed633b66aa93fa76043fde547bec654759b44>None_0,andPhrase,"The results of the two regression equations, which examined subjective ratings as predictors of retention (question 5), were somewhat inconsistent with research presented in the introduction (Hill and Scharff 1997).",result,negative
1677,da2a80ac34255bd566db0fcb01f9a4d0877cc43d>1fd9bb3fda0dae1ee2d5495072456b6c64f3fdc2_1,explicit,"However, the social systems of their sister group, the Eupleridae, remain poorly studied (Brooke et al. 2014; Schneider and Kappeler 2014).",background,negative
1836,191e7dfd3a7b5e0b573816eeaa8b2f68f49a4cba>933a4567b9a6f40e9b92ea623629772f24b195e8_0,explicit,"This result is in apparent contradiction with a previous study showing that the dominant repression of MYB52 caused a severe reduction in SCW thickening in both interfascicular fibers and xylary fibers of the inflorescence stem (Zhong et al., 2008).",result,negative
2803,cbba8c06c55dc136df1ff3fb279ae1a95daff409>379ad1c4c0840e7ca384d6487a4f0d2838f813dc_0,explicit,This is inconsistent with the results of a previous study of the spatial heterogeneity of nutrients: nutrient heterogeneity affected the growth of large plants but did not affect that of small plants (Maestre and Reynolds 2006).,result,negative
2825,74665547a98e4561d25330269a917703d52dc32e>def7e8ee53ff09051d9b0124b934cad55d46cfe8_0,explicit,"These\n results suggest that H2O2 was not involved in the osmotic stress-ethylene production, which is inconsistent to the results described by Watanabe and Sakai (1998) in winter squash (Cucurbita maxima), who suggested H2O2 would be involve to the expression of gene for a would-inducible 1-‚Äö√Ñ¬∂",result,negative
