,citingPaperID,source,string,label,sentiment
108,44b5a8fde9f6c45652d642ac9d27ecb12d755ce7>a790aabb1b75ce456b0d6e7f9a79a48df554b398_1,properNoun,"Among possible explanations is the contribution of sex hormones in the modulation of Tregs.34\nTreg-mediated local immune evasion underpins the second finding of our study, i.e. the positive association between higher FOXP3-positive T cells and the presence of VELIPI.",result,neutral
3287,0e4bf03c0e7a18078edc742edf2f356c8b29aace>ddd33219d28357cc57f461c1ff4eed4b99e29416_0,explicit,"The 21 RCTs [15-35] and 42 observational studies [36-77] (33 cohort, nine case-control) were included in the analysis.",background,neutral
8116,2f82dfa009bbf2a400908101438bf9a18a87a166>f3e018cc26e36b4af92789494dbe02721f6b9ce9_0,explicit,"The change in the apparent diameter of the particles was calculated using equation (1), where di is the diameter of the protein-coated particles and ds is the apparent diameter of the sample after immunogold-labelling:",method,neutral
77,27db8d3a2c85cbc34deef51ce4cd850b431b4b34>a81b383bf01b572d28e1566650d938a6fe414e57_5,explicit,"The potential for BCL-xL to modulate other channels in the outer mitochondrial membrane is suggested by the finding that BCL-xL regulates the open state of the mitochondrial voltage-dependent anion channel (VDAC) in synthetic membranes (Degterev et al., 2001; Vander Heiden et al., 2001).",background,neutral
2976,b14d9802f95d696cb7f976988cf874e8f1273749>a4cb5a9cf95f98553274f618c6583e8d1b391702_0,explicit,"Antidepressant-like effects were measured using the tail suspension test (TST) [20], with minor alterations [14].",method,neutral
1148,b8bffa786710b52c95201796bade07fc2ad3f38d>0049b630e0bf4b14e76e36615c33aed0c39c3dd9_2,explicit,"Both problems can be solved in polynomial time for strongly chordal graphs [6], comparability graphs [4] and Helly circular-arc graphs [7,11].",background,neutral
8141,d21ed6a2508cd5081910f966da8ffbf8a601436b>51523a9c19398e4ee1aaed797506b4b14244b510_0,explicit,"In addition, both sustained and selective attention were measured with the Continuous Performance Task (CPT) [21].",method,neutral
2147,bd8d902558bfa6f3f676974381700a98abff3dc6>321c03aa26a2d121863a96a5b88f4a443c53a500_0,explicit,"These results support the previous study in the M. fascicularis (Ruiz-Herrera et al., 2002a), where 51.14% of chromosome bands where ITSs are located express aphidicolin-induced fragile sites.",result,positive
4619,dbfdbba44c6c2e8a9a2f40f3ba13efc440d56e14>368f3dea4f12c77dfc9b7203f3ab2b9efaecb635_0,explicit,"Training: We built separate directed word alignments for English→Arabic and for Arabic→English using IBM model 4 [19], and symmetrized them using grow-diag-final-and heuristic [20].",method,neutral
6935,9462acef826a6b495fe8fb281660ee4418bb840e>21aaceb3fc27e8cc831e25191d967daa0d8962bf_17,explicit,"A poor performance on the FCSRT has also shown a high correlation with atrophy in the medial temporal lobe (Sánchez-Benavides et al., 2010; Sarazin et al., 2010) and was significantly associated with cerebrospinal fluid (CSF) AD-biomarkers (Wagner et al., 2012), increasing the validity of this…",background,neutral
2996,9fe8c13205649922f73b6e784784995c3fac0ce0>465ee1982bfab0a313092fcfafdc73d23df76456_2,acronym,"To further confirm the EMu analysis, we also analyzed the same set of tumors with NMF [16,17] and found nearly identical signatures (cosine similarity 0.9988 between the EMu and NMF AA signatures) and similar estimates of the AA signature’s contributions for these tumors (Figures S8 to S10 in Additional file 1).",result,positive
