,Unnamed: 0,citingPaperID,source,string,label,sentiment_chris,sentiment_daniel
0,7792,0244de3610992df3e77b65de794861810a673a48>89634acca7f883bb26a15b1db301488353d8654d_5,explicit,The self-report component measures interpretation bias through endorsement rates for negative and positive interpretations (Amir et al. 2012  Beard and Amir 2009).,background,neutral,neutral
1,3733,f98fa4590950e29e660b3d3179a7bb570ee4e132>cf4b786764155761e514625265e7a496c7166469_10,explicit,"The age of giant nupDNA fragment A was calculated by dividing the corrected K value of type 2 substitutions (see Results) by the absolute substitution rate of the synonymous sites in the nuclear genes of rice (Ramakrishna et al., 2002).",method,neutral,neutral
2,1237,bc103d96366ec97e0dd620894bbb04c8849eb772>919a7043506352a11d3bb6fa435081d03381c429_1,explicit,"Two representative software of this type are ssahaSNP (Ning et al., 2001) and PolyBayes (Marth et al., 1999).",method,neutral,neutral
3,7052,e3450e8ca6d743f04a1ad41297ab59eeb82299b4>b5fcda6fd9a47d7ef14b8e3e8c80c00fde1b990a_1,explicit,"How are Bcl-2 and Mcl-1 levels regulated in a dynamic fashion? Antigen receptor signaling during clonal expansion likely drives down Bcl-2 levels and hyper-induce Mcl-1 in responding CD8 T cells (Dunkle et al., 2011; Opferman et al., 2003).",background,neutral,neutral
4,6524,8ebd0c64a3f1833cac7b8191303ea2bbd05682b5>86fdeaa16c965db52f41ad8489ee38b93590eba6_1,explicit,"Two traits are orthogonal when, based on individual rankings on one of the traits, it is impossible to predict anything certain about rankings on the other trait (Allik et al., 2015).",background,neutral,neutral
5,2543,2c0cab0d657f6c225c74736fed02750c381032de>02cdbca047e857f7e253b318fc593494925c1170_0,explicit,These results are similar to other reports [34] in which the proportion of J-Lat cells displaying GFP epifluorescence was synergistically increased by prostratin/ HDACI cotreatments compared to treatments with the compounds alone.,result,positive,positive
6,8093,7dda92d7dbb1a5f7fc78bba6f81890b3832cb2d6>e6f6fdef07ca7e5a96e0c7d8619bb9171e9eb60a_0,explicit,"A type I T-cell gene signature that promotes both the generation and tumor infiltration of cytotoxic T cells has been shown to be associated with an improved clinical outcome in a variety of tumor types (2, 3).",background,positive,positive
7,5365,9237db18530d0de2e0281e735c10570d7c235b36>14682fc8cc919fe557ea8881d3fcc94c2fba686d_0,explicit,"Resistance to TB involves macrophages [2,4], dendritic cells (DC) [17,18], and T cells [18], and multiple studies in humans and mice have shown that maintenance of TB latency requires a Th1 T cell immune response and IFN-c, which is a signature cytokine of this response.",background,positive,positive
8,4663,1ac9706400e1c06a100add4b83a67af503404d8d>1fc59dcb14b70e8c0865c8c687932b90a6535527_0,explicit,"While the prevalence of hyperechogenicity is only *9 % in healthy adults (Berg et al. 1999a), the statistical power was appropriate for detecting significant differences between groups (e.g. grip force group-by-trial interaction = 0.87).",background,positive,neutral
9,3065,4f4c6a035c0c28cfe5855a720a8f7a16a401e9f8>0451f005e25d672931091e7f4f16bc16b3ce04f9_0,explicit,"There have been few animal studies on this subject, which provides insufficient evidence as to the rationale for using ORM in nasal patency assessments [13].",background,negative,negative
10,372,0fd548a07b8d113f5f6a6255abe191668120ac53>74809ba2f3834024b56f5b0784655b1435708c60_1,explicit,"Although Arpp/Ankrd2 has been reported to be localized mainly in the I-band of striated muscle (Tsukamoto et al. 2002; Miller et al. 2003), a recent study has revealed that Arpp/Ankrd2 can interact with nuclear proteins, including premyelocytic leukemia protein (PML), p53 and YB-1, in vitro (Kojic…",background,positive,positive
11,6346,4289898ef10c52412dd2ee16e35ae8ae4954552f>2b2ac21e381c1cd942860094837e61b52dd20268_0,explicit,"…memory\nINTRODUCTION\nEmerging studies have shown that auditory beat stimulation can affect mood states in terms of levels of anxiety (Le Scouarnec et al., 2001; Padmanabhan et al., 2005; Weiland et al., 2011) and well-being (Lane et al., 1998; Le Scouarnec et al., 2001; Wahbeh et al., 2007a).",background,positive,positive
12,2343,70b1e174c0d26a6262355e3891c2655559f79122>45e3f5396f892f5672b29c98df9b175d1eb7eda8_2,explicit,"The prognosis of FVPTC in our study was excellent, similar to the\nresults of previous studies (Chan 2002; Yu et al. 2013), and FVPTC is known to have less frequent locoregional recurrence than conventional PTC (Burningham et al. 2005; Lang et al. 2006; Nechifor-Boila et al. 2013), although there…",result,positive,positive
13,600,9a068a63f5ae85227863a972c7204903fdcca978>73619c0c3ee055ee31944e3a71119e9f68d42794_0,explicit,"In addition to expression in the fetus, Igf2 is expressed by the placenta (Constância et al. 2002) and mice lacking the placenta-specific Igf2 transcript show IUGRaswell as placentas that are small and have altered nutrient transport (Constância et al.",background,neutral,neutral
