,Unnamed: 0,citingPaperID,source,string,label,sentiment
0,2305,f6e7d88342d23cdc6dc959b16106b6bb05fa807a>0fee7f15bb7d5813de71b2951c5d118fbcdd4832_0,explicit,"Utilizing gain-offunction assays, we demonstrate that enhancing actin polymer-\nthese proteins does not increase SV density (Scheiffele et al., 2000; Bamji et al., 2003; Sara et al., 2005; Latefi et al., 2009; Linhoff et al., 2009).",method,positive
1,3210,51439b498621806aa3a915fdbd4aa983473da397>6eb725dc2d318750265f1c8e64ee12c4b286a796_1,explicit,"maticity, refractoriness and conduction of the heart are conserved between zebrafish and humans [44, 46].",background,neutral
2,4484,64cf98067d1cadda174e5ffa24fc45a6b3e6426f>2d04ac3be66a1148b0e0aeb687d0345841ca674f_0,explicit,"For reovirus 1/L-induced ARDS, at day 9 postinoculation, there is a severe pneumonia (peribronchiolar lesions with lymphocytic infiltration) with the presence of hyaline membranes, which are pathognomonic for human ARDS (20, 21).",background,neutral
3,5821,9b6d433ab5104713ee41fbeb24b4d0f2b82fe587>9515894ed25dbdf24e8187e166a6e9bcb7cce1c1_1,explicit,"Besides that, no ameliorate impacts have been obtained on the use of antioxidants in some studies (12,13).",background,negative
4,3514,15ac5bcd9ca900dc948e969558670084e3d560e0>5297cce880dad7881b5f4c16b683f971363f009a_4,explicit,"However, limited information is available about molecular mechanisms of HM tolerance and detoxification in trees, and most of HM related genes in woody plants are restricted to Populus (Luo et al., 2016).",background,negative
5,627,8c6cce1fbc57de411affb7d09fe11b1d2c6e5861>eac9c263d99f397dfc2518ac55f610130aac32a7_0,explicit,"A recent qualitative study explored the views of individuals living with SCI towards the descriptive systems of six established instruments (15D, AQoL 8-dimension questionnaire (AQoL-8D) [28], EQ5D-5L [29], HUI, QWB-SA [30] and the SF-36v2 [31]) [32].",background,neutral
6,536,d589dbea5c3743b8b8b8857d2f729e0fefff6790>f852f6d52948cc94f04225b8268f09a543727684_5,explicit,"In\naddition, there are continued new developments in lowcost, light-weight, and long-duration UAVs (Lucieer et al. 2014).",background,positive
7,2414,96e4832d62cfde2cc818aa932b298dd9ea3c2e3c>3c72a28a95fbca56237572416af8ecf1612b0fcf_2,explicit,"These results are consistent with our previous in vitro finding that Sef loss can enhance FGF-mediated induction of MMP9 in prostate cancer cells, which facilitates tumour cell invasion and migration [20].",result,positive
8,644,5ddd341c20f323d736e9b3899ad20561c9bdbeea>8f2cfced117e54b3e1ba97b0e43f34e0ec747952_2,explicit,"Typically however, when a fungus was isolated from a seed, it was the only isolate, and roughly 74% seeds were free of all culturable fungi (Shipunov et al., 2008).",background,neutral
9,7534,a69bb3e0deb2b7140547f114381ccac97a81fd16>878bcdda5eaa502eb6834d9366c9bf5746a1072a_1,explicit,"Subsequently, Shirure et al have shown that MAC-2BP carrying sLex was functionally involved in ZR-75-1 rolling on HUVECs cultured as monolayer (8).",background,positive
10,6307,2956fc184e598be3422943be2279d64ef26ec43a>7cf4a263353bc2680e6c18ef67daf382aec048a9_0,explicit,"It has been demonstrated in numerous experiments that anonymous pre-play communication increases cooperation in social dilemmas and improves bargaining efficiency (Sally, 1995; Camerer, 2003; Valley et al., 2002; Ellingsen and Johannesson, 2004).",background,positive
11,6389,e3f3c1e9eb72a18e7cd93ff3a26395db9c6b17bf>0d9d447667b6ceda0ae4c4f05315da49479546a5_0,explicit,"Eicosanoids derived from AA, including PGE2, TBX2, and LTB4, are more proinflammatory than those derived from DHA (Calder, 2006). The results of our study confirmed this pathway of eicosanoid formation. Chickens fed LR diets had significantly lower levels of PGE2 and TBX2 in the blood than those fed HR diets. These results are in agreement with those of Cherian et al. (2009), who showed that the level of incorporation of n-3 FA was higher, but that of AA in cardiac ventricle lipids was lower, and the levels of PGE2 and TBX2 in the blood of progeny (7-, 14-, 28- and 42-day-old chickens) were lower after feeding HR diets to broiler hens. Liu et al. (2014) reported significantly lower levels of pro-inflammatory eicosanoids (PGE2 and TBX2) in the plasma due to inhibition of phospholipase A2 activity in chickens fed diets rich in PUFA n-3 than in chickens fed diets rich in PUFA n-6.",result,positive
12,4744,60298d665f7d34f06554a62b92d7a514c5ddf35c>45e3c905eea1f903fdca2de448da90cb6ceaa0bf_0,explicit,Up to almost 70 percent of patients with NS-associated FSGS may attain complete or partial remission and maintain stable renal function for about 10 years when given a prolonged therapy with steroid or immunosuppressive drugs (19).,background,positive
